"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"AL",194353,181704,179440,169088,151086,176472,187593,194227,178199,186662,156338,163647,166309,203782,210694,209467,182204,208971,223971,215932,176217,151327,144773,145304,166994,161022,155656,160935,176696,175397,164722,153364,150242,141033,67874,66560,66705,62883,57615,58463,59084,58735,54068,52378,53345,52920,49050,49102,47641,46341,45764,45959,46171,45681
"AK",5171,4029,4243,4178,4497,2949,2151,1862,1925,3765,3485,3529,3438,2069,2168,2233,4308,8774,8941,9659,7067,8753,7954,8169,9188,3103,2923,2259,3967,3917,3348,2875,3046,2723,5986,5920,6106,5224,4894,4922,4871,5079,5287,5029,4893,4705,4671,5035,4863,4728,4383,4246,4145,3681
"AZ",26566,27268,28566,29289,28809,36093,28844,24988,25121,9671,9556,9299,10376,13376,12492,12302,16421,14706,16652,14181,13871,15095,14585,13741,15620,18365,17521,24043,25558,25139,23644,21635,21469,17835,8291,7129,6838,5816,5414,4783,4574,4782,4526,4339,4389,4147,4180,3679,3695,4089,4028,3672,3837,4013
"AR",95568,96310,97220,94865,88519,79111,88493,84205,81287,75878,80378,72938,66816,83466,82147,81960,86884,87771,82964,82506,85912,76481,71732,71100,86235,63792,61608,61844,62928,63217,60540,55633,55336,52390,45832,52002,51062,41325,35870,36739,37551,36857,34682,34264,34698,33739,33309,35169,35134,36860,36729,36441,36290,37433
"CA",294706,280927,282546,280124,236484,229209,224673,219073,225462,228393,205789,171469,164118,164105,155665,146909,158854,175098,181972,195852,193993,226570,219221,222587,235903,169036,157927,129117,167092,165871,148644,127114,133092,115610,168373,160261,151984,144760,127489,134723,130122,127646,119221,116839,116253,110274,101885,100673,97488,98436,93022,86898,83506,82098
"CO",35275,30677,30881,28210,27115,23926,19708,14952,12798,14166,13784,12540,13731,16364,15625,15850,17123,16342,13929,12746,13325,12891,13316,11777,12050,14630,13486,20649,18581,17189,16171,14794,14131,10749,16485,15473,12471,10276,9050,9433,10310,10032,8914,8364,7811,7434,7223,6982,6569,6816,6571,6420,6563,6479
"CT",34223,32832,33990,35716,35504,29922,31661,29530,23791,37860,26844,24827,26648,45279,45009,44668,46243,49675,42323,35727,35325,34934,30415,28711,31371,30997,27231,31652,37629,37171,44222,37604,40241,41088,24583,22669,19608,19886,17102,18039,17225,17127,16109,15837,15262,14931,13964,13612,13541,13886,13339,12825,13169,12842
"DE",5990,5971,6780,6901,6173,5430,4666,3382,1694,1270,1246,1190,1207,2181,1889,1833,2101,2543,2381,2330,2395,1691,1645,1569,2438,2310,2162,2765,3019,2927,2224,3170,2006,2472,8729,10667,10161,9607,7901,8466,8483,8190,7673,7021,7073,6591,5783,5852,5577,5510,5356,5134,5101,4982
"FL",254259,244657,245571,246789,238894,209752,168986,161792,157566,149004,157601,144171,127388,164155,171638,171827,197033,206119,186456,182190,185167,200092,183237,170933,205324,112284,106526,116654,111939,110474,92271,102795,81817,87819,66926,62995,57416,53819,47568,49804,53820,51917,47318,47974,48627,47044,41567,39739,36798,35983,35838,33321,31611,32690
"GA",233402,207610,210461,204742,187933,176494,183031,184728,177644,189388,179384,255738,164904,196564,202675,202938,218529,208259,205644,196067,194264,183692,183376,188344,177845,117426,112954,119242,116686,116258,107773,105698,98408,98096,103274,99260,94049,89188,78324,83428,81637,79604,74407,71792,73255,73637,70831,74664,74215,73208,72407,69729,70216,71206
"HI",11160,9604,10550,10448,12225,11795,9693,9875,9565,9336,9305,7480,7947,15194,16981,16548,17433,19066,19803,20724,24388,24901,25446,25924,26984,19426,17846,16314,14217,14301,14035,12440,12745,11910,327,275,460,701,569,591,543,550,347,429,729,678,258,144,172,224,206,0,0,0
"ID",33337,31022,31176,33561,29184,36166,34932,32916,35308,25924,22967,22444,28445,27857,28093,27359,28607,26166,25630,24060,25189,25784,24416,24350,26775,17771,17002,19410,18744,18432,17969,16085,16321,14646,18844,17065,15540,13792,11103,10332,11209,11368,11181,11476,10620,10659,10300,10269,10361,11059,10560,10825,10813,11354
"IL",136667,132253,133879,147792,147147,126903,112657,97507,103506,122403,124112,109057,98429,95574,91739,89509,89677,81943,96147,99239,96425,112998,107182,101160,130459,159343,150417,139818,128846,123273,125003,107137,98923,90927,63281,61593,49962,46126,41624,42652,42523,39932,39199,39317,39935,38299,35570,35275,33209,32631,32563,30865,30135,31033
"IN",107837,103962,105544,98571,94504,87913,58748,47177,56936,51699,51496,49816,46061,41611,42374,38669,40412,44255,49123,46872,48311,56616,57183,55709,64821,75580,71478,66688,65218,60559,63524,54622,53864,51217,47318,42076,34870,31049,26719,27370,27118,26828,22643,23295,23801,23233,22475,23325,22081,22696,23463,23293,23062,23477
