"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"AL",565051,547004,651032,718684,630969,842826,888436,886678,890098,853917,873735,845999,842337,904181,866512,856479,867264,890742,828277,773804,812948,775653,723921,682496,682145,652717,660678,660525,662890,584607,532596,511059,629957,661023,670208,577580,629412,632096,640063,653405,688650,669734,626054,675603,641466,618335,580163,583457,533142,459000,442465,427177,382455,395400
"AK",14819,15521,15481,14548,14505,14705,13662,14981,13994,14075,12552,16429,15911,16455,16394,16471,11719,11152,12882,12578,13630,12509,12675,12387,4719,4362,4330,12150,11587,12883,12403,13182,12521,4310,4182,4689,10259,13706,15271,12485,13286,12753,14121,13159,13191,15998,18462,16431,9888,12029,11999,13559,11552,7189
"AZ",454865,420570,459909,457909,413260,458727,438524,431985,428445,425413,406537,406479,424023,432810,403262,386770,369872,342839,342889,402390,389839,369743,347261,343415,353144,309041,282882,295888,342013,324862,295442,336245,319438,244994,246230,159980,179847,139960,92449,48359,9927,7523,8876,8623,8381,8137,7184,7373,7030,9103,8432,6291,211,210
"AR",327099,296732,306119,293689,264083,278849,275037,256907,247169,270210,253653,255242,273982,267579,267022,254658,246786,260060,237334,222169,200450,220706,215945,212707,203343,218821,211011,224547,219791,163879,177458,125193,101935,36648,31728,22833,5244,3578,862,2665,2262,50,51,0,0,132,104,111,163,186,135,160,275,356
"CA",38151,43832,55264,54972,52403,63050,66495,67017,67422,68909,69469,70010,67839,70012,69547,66157,82651,80324,84323,84616,84669,91515,89519,84160,66427,50824,44951,42519,45264,37243,32022,69415,78401,66170,68565,67892,75109,66630,56405,60670,66956,47452,51015,61812,60031,57011,53949,51515,63693,53723,46127,39681,59106,35903
"CO",363532,370085,368871,382623,350224,385416,388586,394348,386670,390186,394163,390480,400028,387879,364236,364889,362423,350712,344201,359375,347233,339652,330609,337375,323462,311372,296539,295376,299070,286888,254698,276433,278732,247615,238041,218619,223762,185147,159333,138302,140487,119005,105682,115688,104487,112995,107862,109021,98117,89600,88958,79296,76938,68206
"CT",7679,9290,6081,28711,26265,45188,39931,45722,42023,43997,41864,34206,39991,36246,15231,32569,44982,41120,40787,38584,37303,39166,38582,38511,23762,23112,21396,21216,21316,1489,712,763,904,364,1070,807,1167,1152,1272,6522,2625,4249,36411,48577,59211,82430,109548,136198,128613,120798,117384,112064,107540,101694
"DE",18254,17384,17881,30253,33938,60891,63839,56625,56716,53599,46997,40536,38335,50147,35915,45817,48586,50779,52448,57477,63469,46120,56853,59491,61212,69034,70471,66423,71436,72797,73014,47947,50618,28063,23914,21812,17713,20186,22938,21254,21047,23493,36677,37238,41720,44082,40712,38690,29030,29241,26494,22586,20776,20496
"FL",505155,482984,552730,637416,581517,693161,720824,696215,672309,699055,723832,719670,725890,760439,716280,749474,751335,745817,686924,663382,654527,649439,650316,633390,636640,611464,586620,459413,472352,378652,318946,240178,236471,225457,202251,175522,159934,141836,133463,146604,152578,123613,117154,116720,104100,103172,96160,70146,55189,46691,43281,39644,36267,27176
"GA",426184,435546,634756,767906,723449,885849,934773,892732,901010,834991,819031,807121,772021,819530,782617,767394,767969,723082,723817,685757,655174,613139,643363,714128,666790,698991,710572,692512,725678,681531,584816,535439,552108,521518,469598,434380,415733,347552,311988,283947,271501,261592,219607,193155,202716,194909,165942,177237,152600,123813,115509,87199,90769,88950
"HI",15306,16572,16080,17117,18958,20158,19007,17527,17956,19254,19256,16618,17774,17653,17691,18223,20513,20371,19914,15740,15575,6750,1063,721,795,1242,1573,395,1124,941,1040,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID",7965,5186,7846,8527,8443,8604,10261,8212,11286,12336,10219,10194,11395,13732,7976,8783,6410,7311,8946,9663,9782,9620,12271,10086,9757,9710,8859,8617,8870,9020,9466,10358,9801,9610,11856,11424,12102,15162,13416,11362,10636,10531,12157,7935,9853,11552,13401,14867,15863,18234,16589,18028,17103,16845
"IL",1026925,969294,1052224,1069037,1014972,1103163,1091382,1045398,1047532,1069538,1010087,986832,983729,1016555,958832,949046,974920,919858,826679,825387,812832,698647,757572,748159,720967,745182,783231,804201,811110,833205,848229,778512,796603,844481,845402,841562,860555,862231,845574,874930,884606,852205,843847,920303,1012703,1006199,1030722,1072076,1014492,944485,912344,912473,899157,914648
"IN",1198611,1193465,1333442,1449371,1365413,1558078,1572084,1587100,1594399,1614210,1570700,1547530,1569235,1595037,1477167,1447976,1423469,1374505,1344410,1297228,1319875,1291098,1338976,1361800,1292598,1267244,1166555,1130131,1193273,1209499,1105128,1007163,1150611,1156965,1171644,1074576,1109953,1062942,1061168,1038072,1097874,1050876,942253,1006824,996123,961526,930848,967518,900562,860401,815496,785052,798090,794942
"IA",402402,422595,463138,493794,444574,485218,465167,435187,429777,443221,444587,441534,443921,445888,432009,424859,391698,383702,372311,348935,344102,329253,349273,334999,317665,306130,287346,262130,268806,251547,253663,243876,252126,234425,219445,201296,185141,169471,131562,128173,148656,144863,124704,130867,127011,120036,120832,125400,126638,112797,116201,114293,104513,115945
"KS",326817,307585,346521,359908,356079,371804,396333,364212,379823,385498,389464,391664,354647,362797,329308,309382,310907,338314,289709,300955,302570,253303,268537,271741,267926,269294,267406,251692,259501,274843,231156,212511,212932,191574,147482,136849,89517,73379,62280,39107,24625,12416,10817,10701,9771,12740,12231,13680,15282,14827,16716,14595,13478,15724
"KY",914774,909705,1010623,1009823,937106,1024816,1020709,1023263,986263,961759,943652,950941,1013055,997621,987592,958990,977760,952091,929379,896399,921147,812932,802748,803503,767632,821777,746716,749913,716929,670985,637850,626978,663926,641685,609287,617183,613466,617452,558334,593822,573386,583808,550397,527054,470838,444142,434203,426294,415492,401711,368036,287376,288113,286738
"LA",228055,238811,269993,259750,252519,262470,249800,265214,253518,256716,247978,232109,239990,253263,227687,225283,226065,205405,216826,230869,223457,223538,214236,208871,207701,212090,172355,171903,159097,119071,106718,64251,23727,2456,2518,3747,1774,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
"ME",1657,1299,1542,2279,1652,5908,6583,6618,7059,7336,7481,8000,7875,9980,6864,7294,8966,9827,10995,17631,17377,27500,15409,10413,6757,6906,6849,9294,5093,4951,5895,6935,3141,3008,778,719,603,1050,1311,1957,1418,1402,2301,2166,4272,4592,5618,7401,7992,8082,12541,17821,19505,20408
"MD",183191,192334,241190,266067,266860,309294,327979,324657,329304,327239,329590,325834,318851,312162,305186,303896,289686,292476,289562,268862,261730,247493,274761,286482,295785,301217,288901,275042,256210,270158,232600,217256,210368,235710,240709,209720,189728,245318,197160,217510,256761,226421,273953,311292,355397,362795,350715,339046,327393,300629,275328,252310,230214,226566
"MA",42208,24036,42963,83850,92056,106897,120168,112173,119333,105075,109373,118358,109014,114658,113610,109862,122896,113698,105363,101755,99579,112044,117917,114004,121873,116851,117626,99755,110246,116021,96877,89641,26644,22845,4632,3163,4008,3953,24484,26447,5151,7677,13054,21393,60429,87696,101438,112103,127922,123421,115969,119907,120459,118745
"MI",658172,621633,691150,749285,735907,799969,801178,773595,799463,773825,747940,739866,789703,799800,832638,826852,781123,796303,786684,800996,715473,707470,764149,788043,790246,830904,840236,811930,781884,747632,706594,711387,757492,759026,758928,671257,692982,717683,750983,709962,791284,843677,837639,828881,908860,933607,870628,897159,830191,780945,758970,695978,637466,653141
"MN",267695,257875,315604,315438,328678,359359,366208,370814,379114,378775,390691,360822,353305,373775,341475,357030,341636,354571,337972,332848,325850,300773,301476,325469,324899,303592,255980,201382,226094,231376,211168,212528,244190,242420,229460,255741,264929,222441,191490,188665,180736,161572,155594,179727,191156,150563,161175,171398,159987,156354,138716,131206,130948,131265
"MS",97767,82456,107546,148463,141675,177166,185063,190057,176286,184992,178949,154339,198275,147481,137608,125930,132171,127780,103786,97270,99325,86785,95302,103944,95648,129622,122372,108771,109381,103950,96091,100518,82948,74997,59765,40994,38658,42531,33355,34581,29485,13952,13498,13225,14757,7317,962,898,1020,729,763,708,655,753
"MO",806549,768297,825650,801625,765617,792918,802879,829054,835663,807466,795634,725679,716378,688905,687170,695687,670589,631084,593728,539958,467752,522331,533887,539572,550407,547281,528040,512338,529684,593295,564360,523817,536042,531438,512505,485655,503909,468324,430226,382005,383451,334355,294143,279245,244510,212261,188991,190661,189620,183420,180670,180520,158523,170906
"MT",166104,157308,165687,203339,172812,203260,202480,194307,199495,195620,188981,166322,184401,176779,186770,186099,162568,138751,175304,193689,161903,194093,184213,168848,179360,181480,132937,133247,99055,90265,42786,48650,62539,60228,63407,57597,57814,42179,18630,14717,15243,13182,11475,12023,9648,6719,5484,5805,5537,5811,5372,5670,5149,3999
"NE",292956,272587,285384,254552,249593,234654,216872,227444,228667,223624,227290,217939,226691,206938,198490,204797,193334,178884,179482,160506,166207,140933,152008,142021,131097,139344,116462,109935,115478,124257,104815,96746,98584,93942,77604,59813,59344,53712,32886,32763,36867,33509,26322,29716,27082,17192,18303,19748,20815,23650,24513,23047,18164,20010
"NV",64838,52850,62701,80228,83812,88619,82871,84225,197799,193634,182553,164775,188572,199339,181616,184243,166666,169470,162497,180270,172371,178836,180259,165306,170222,183513,154875,161583,126210,155582,140246,146479,112197,93216,99307,91272,115938,111294,101298,100463,90083,84363,36438,17290,16679,14582,9379,10862,7892,3234,3387,4218,3740,3962
"NH",16778,14191,24489,33827,32844,40241,44899,44807,44169,43446,41633,39845,40125,44033,35408,38623,44527,36142,35576,33580,37485,34679,34784,31544,31544,32754,31550,25052,39719,34056,29383,27624,24226,29275,29080,20409,26470,20331,26187,25275,28325,30649,25496,27149,26956,22297,10247,9655,11171,11755,11520,12330,12308,5390
"NJ",25910,25589,49592,71961,59563,97671,111799,116093,125332,112707,106857,104849,112207,114734,88984,86235,99889,86606,79902,65071,63133,62741,61891,80800,94831,81127,90538,77882,103310,84013,91632,78375,75464,68692,59195,60820,71011,70596,60498,82477,66132,31985,91498,123291,141206,188734,198642,236575,236647,206555,193035,195944,193959,168775
"NM",256377,263439,284737,267474,306162,284346,296067,316221,317916,309418,305641,284132,297096,305513,298105,290367,288506,279149,275217,278385,270273,267469,234301,275661,279835,266124,260668,241600,268374,252868,263654,225549,196933,202870,152939,145738,153922,137492,132535,140947,134490,123807,120695,99380,50226,42971,44143,37029,44277,31271,15765,2451,3303,4064
"NY",68707,72914,125181,167094,155965,228985,258450,256345,256879,276470,286179,280584,306993,330844,317998,337438,325232,311795,305274,316750,326194,355983,352268,349779,363802,332998,294305,253341,301368,299885,268018,288982,308653,313708,315174,297344,336851,363821,312508,374196,369320,355384,435654,598940,656531,700146,726567,731385,755238,739638,643946,620891,634013,691728
"NC",493771,534713,624783,749091,678673,794693,827974,777871,811939,782692,771618,770928,756311,786114,742398,754322,765927,744253,662870,632792,689419,649160,567411,568294,591439,515435,500936,583153,550505,558943,594999,622104,655284,624696,558638,499873,548103,544481,476522,522825,531706,492784,484598,491383,472767,446588,405418,380312,325866,295013,282911,260487,244241,231342
"ND",393193,406344,394771,409684,423267,424615,420719,414838,431133,398381,420832,422809,420001,424563,411323,409226,385988,403951,399757,402452,399919,399188,378936,374517,363811,369782,319324,310868,301957,256659,213444,198916,172400,163322,148077,129778,107264,91487,67943,76484,71095,72820,67672,57471,49996,48467,44028,36034,24746,26502,24937,28384,30011,30531
"OH",1104486,1019140,1222606,1355137,1267267,1438432,1463773,1450797,1481045,1391290,1443498,1396899,1362828,1428454,1382205,1450165,1407234,1447126,1379803,1386079,1431633,1416870,1413415,1425314,1468632,1474684,1433056,1431837,1389464,1361844,1321092,1392042,1534900,1528107,1668432,1622430,1669162,1653336,1619050,1642125,1622805,1561035,1490481,1571427,1556077,1478634,1405472,1420418,1324406,1272289,1243806,1229713,1159286,1269205
"OK",335925,327089,378320,346047,373271,391688,373217,384418,397379,372093,393790,391379,376112,381089,360598,370064,392437,373093,369889,333445,355829,328337,312747,278807,270329,269419,240662,217945,237168,230922,219296,203812,157728,106346,60391,43718,12381,1541,537,4187,4085,165,164,154,144,465,567,695,697,1035,1685,1072,1452,1826
"OR",38900,28259,35135,42556,33150,41408,45461,26895,35624,36460,44884,37751,43365,38700,38604,36133,16363,20261,20173,44583,37131,40780,32760,15658,6734,3115,3679,2911,10045,11814,9888,11803,25826,12102,4679,4672,5223,5876,2673,3251,2144,2240,3376,3047,3950,3898,4802,6521,7110,6833,7455,8805,9420,8943
"PA",1126118,1093178,1212984,1310670,1223937,1421091,1491907,1499292,1490836,1474310,1461986,1457349,1392203,1508091,1414957,1466042,1569642,1543719,1484091,1439646,1487022,1473154,1425228,1469705,1490936,1466212,1381080,1318385,1409068,1462314,1337526,1291496,1495944,1636051,1756262,1572452,1577975,1682817,1646695,1661359,1798616,1662309,1619609,1698980,1628975,1725890,1701151,1746453,1751318,1699047,1538471,1477609,1431872,1530508
"RI",0,0,0,0,0,0,39,49,76,76,101,76,50,52,41,59,71,81,74,75,72,123,101,129,679,4386,130,705,213,225,172,197,192,165,122,123,117,146,147,954,149,157,211,228,242,3297,6545,10581,11461,11022,13308,14953,15116,16754
"SC",257319,298572,366160,404966,371981,445454,444046,432220,431086,433868,419663,404455,414459,432195,402153,373368,361385,352579,314509,330813,329445,288325,290951,289222,302156,301780,295325,263944,262653,244040,233856,271483,266523,245769,206761,192321,189564,171042,140171,155268,167908,174934,152014,140118,131995,123989,134348,132867,121474,108707,118239,108500,103498,96414
"SD",34246,35574,32112,39061,37480,43098,33256,39570,36952,43562,43017,39957,44372,50602,46304,41015,42942,33538,37429,41355,36371,36042,38674,34882,34299,33805,14564,29205,34530,34414,30709,36957,36204,36564,35473,38551,35614,37063,24282,7356,6341,5309,5817,5674,5503,5218,5553,5239,5652,5539,6221,6725,6273,6707
"TN",399768,423086,481127,515464,477713,643796,672766,677174,657711,648005,621425,655906,687352,705059,648342,651838,680608,650760,669028,622698,685674,590306,565397,600526,566938,610560,596507,605739,599665,555270,547105,470661,565947,576894,542302,564711,553721,561514,471919,470336,532943,444326,369984,403742,436716,439263,351990,363659,338853,336101,386275,347170,354174,374478
"TX",1597357,1498818,1695239,1568060,1497854,1605925,1609155,1610301,1627863,1626029,1603971,1550325,1492977,1548184,1530426,1488589,1523201,1485577,1364800,1389409,1430676,1324063,1333449,1333671,1335906,1264113,1203925,1162745,1148998,1074868,1016758,931065,858514,734145,587642,418438,288187,226342,196172,133141,125909,50140,24048,30767,25141,24996,23523,27844,29182,26232,19173,20582,18203,24974
"UT",355230,322055,346181,356148,364994,395878,391386,382757,405546,399704,379185,370551,384453,403068,384060,396129,375105,359984,361424,380866,370982,363056,344365,366842,349724,337985,273790,188954,199366,185637,160238,159560,175686,168254,170907,143943,132845,101774,115740,107648,98848,77580,78743,78777,78445,73920,72396,79119,75449,71031,62411,65575,81964,90967
"VT",0,0,0,0,0,0,34,27,25,25,25,25,50,26,2016,53,2695,42,74,124,145,508,307,201,236,284,315,653,1982,1394,1164,1264,1030,537,595,477,719,579,744,1469,1473,1355,1942,2129,2074,1884,2059,2198,2707,2730,3352,3019,3906,3507
"VA",290508,222270,288348,346161,334605,415102,458200,433606,458452,452557,464353,482759,487601,506961,444542,438490,432781,428703,385108,371724,397271,379542,379934,355067,384191,342900,337881,303266,297127,306947,275468,259723,264301,231849,213734,170626,187029,202247,169188,176954,195912,198893,230247,275311,328714,383807,369977,386377,386296,370395,360181,345482,328073,316395
"WA",74955,42656,56951,94934,84048,94601,95737,69150,112284,112539,118207,100832,99441,106240,96875,103476,80465,90901,69790,106884,97804,106087,89085,85575,96650,99099,95700,63279,93669,82282,80210,74069,90872,90956,99003,84724,102385,81205,76241,54167,64974,36581,6396,5860,7065,6977,8265,11134,12134,11827,13194,15652,15709,15231
