"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"AL",145369,156812,155603,148063,139947,152438,169406,174320,173907,182216,162695,132198,135800,143190,140008,130397,134192,137514,137660,136941,122271,124730,123152,125700,124166,103677,93351,85366,84582,83240,89621,89832,104523,88482,87699,120036,115238,106446,85611,87768,83984,70442,51600,49581,42798,37390,23706,29948,30587,34403,29949,28903,25250,31413
"AK",73358,79556,84657,79511,83629,75258,78296,80873,73213,81794,58216,62931,67938,63284,70784,66935,69717,68889,74513,66099,72158,67470,56830,61441,64491,47579,41391,44219,59403,46675,42552,36765,38133,38892,33831,63035,60820,55548,41301,39909,37640,36634,37031,29710,28259,28987,25940,23805,22066,20441,18196,17412,17023,15354
"AZ",146049,145811,150986,144195,138581,150478,152319,155747,150863,130960,121706,115963,125635,115935,117361,108627,104240,101190,88025,80606,82550,66623,59891,66234,65271,60051,59630,65105,58886,55902,52057,48109,58193,62730,69739,83787,73870,58868,59084,55530,59967,44134,30524,28534,27399,26770,21466,23014,20553,20522,20509,17582,18123,16236
"AR",126060,122349,134166,135490,125975,148127,139258,137091,142062,135883,132162,126167,121602,109482,103470,108809,104472,98058,98981,92786,83845,79426,71951,73306,75547,71555,67814,68129,74585,71399,76508,76374,76323,62246,84801,71582,68692,59106,55721,60057,57618,46351,32001,31819,26934,23721,18692,18490,16474,19435,14781,14147,17866,11771
"CA",533749,518593,540781,528820,507189,522482,572854,576268,563775,547027,480299,521263,566629,543818,481512,456943,463409,428801,425152,421283,378540,403033,436039,449885,468973,477383,398389,434940,416709,439303,396640,391811,393320,362766,389528,350747,301471,266843,246600,254992,302135,268459,276030,228462,226549,224794,221865,218770,204484,204623,187614,173939,160838,155427
"CO",109227,110394,111556,111550,108332,114969,114172,110038,102174,96661,105899,101321,101460,90577,87433,84473,69041,72650,70907,69155,69191,64139,60969,58926,56893,62321,54790,56131,53293,58254,63688,53755,50821,65401,70211,59634,57870,54982,51525,51337,46069,40095,36401,30362,31888,32411,27424,26588,22862,23678,26412,23985,25649,24431
"CT",111556,105815,115290,121029,126992,132687,140464,141109,154282,167850,155195,130243,144408,137198,130386,115715,129067,129031,124094,128242,134693,145992,129792,135513,161095,148984,137717,130636,120461,119708,98465,119441,114891,129923,165918,137333,138486,141061,125895,135146,148187,144305,140386,140480,134718,130036,121063,117499,123406,119545,133602,135359,136132,136122
"DE",12998,12658,14077,14923,16991,15063,17549,18662,20225,19851,22966,20991,20414,25076,19328,18411,19435,21852,19708,21590,21304,20445,21782,20490,25611,24432,24323,20509,21531,22067,19698,16046,18204,21648,21069,24591,27926,26714,25097,25580,25618,25437,25338,25097,23897,22988,19405,19155,19074,18869,20053,18000,14715,15799
"FL",281565,266464,275512,295744,262647,291557,323229,361151,354794,335839,321459,291438,286545,277522,267738,253962,242020,223096,231245,199202,140582,210303,191193,205682,207535,210211,203224,191596,185850,172205,162884,133552,174234,171433,169585,177600,169453,142754,136229,130958,132897,113013,95860,91098,86393,87018,78821,81299,71525,64437,62419,60760,52944,50217
"GA",221249,206392,218507,227972,215006,222433,263998,278177,295370,266070,257043,244084,265080,247872,236466,218275,210554,235282,199582,181024,179843,160620,161705,168500,163690,167770,157152,145325,143524,136644,126760,107029,112284,113220,106874,111236,123125,117999,93867,116974,118928,96260,85338,74452,72654,69045,66079,57508,49695,40785,40551,36402,30884,29941
