"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"AL",1701608,1753727,1799323,1802467,1634451,1832530,1923251,1900485,1860836,1856541,1797061,1799316,1722151,1833286,1752758,1717751,1730236,1768131,1697960,1599852,1614204,1555729,1472050,1417626,1423726,1359726,1336119,1296154,1300824,1239846,1178279,1204984,1355609,1389912,1453286,1400526,1451879,1397905,1399787,1412244,1419323,1362122,1286000,1335524,1289679,1221648,1119607,1097051,1032354,946394,905988,868157,806612,822372
"AK",588530,615973,621638,622716,612432,635787,708067,732217,781037,756177,713899,714712,718377,729758,714792,709668,693234,696876,681024,599565,603147,608935,585301,565723,557853,508643,487215,493552,462656,471746,428046,400327,270456,287436,289049,313248,282083,245473,223578,193166,189126,205710,191875,173208,148179,114046,106714,94370,79263,76965,72995,71359,64860,54634
"AZ",1289196,1245602,1250189,1289338,1288639,1412471,1413047,1380388,1332032,1340408,1219677,1188639,1183282,1144386,1066187,1016590,938073,898554,879167,930683,887986,868850,830159,821494,857319,785400,746189,735674,796491,763697,705081,757090,796136,720320,772665,703765,707488,627537,563589,579109,562130,509993,456013,426321,420086,386730,344236,341080,318872,331235,322246,305529,286116,261910
"AR",933108,911796,923142,903589,845679,873026,865015,856790,822384,849511,865889,859994,859692,882085,875812,849555,831697,844346,816648,767304,718112,719103,690739,713222,729945,714267,646760,691171,682991,641906,674066,634365,656156,610574,645767,665018,664291,631980,599813,647134,682640,629107,604146,630225,587086,541582,495912,484656,457215,463730,426368,402264,375865,371044
"CA",5768192,5703913,5563964,5782900,5881767,6099421,6335056,6232667,6115996,6204345,5909544,6098528,6172714,6103048,5877136,5804462,5563538,5481047,5512662,5730548,5459215,5633110,5553699,5692736,5683570,5428277,5359200,4821686,5097678,4991844,4613211,4709930,5237875,5435689,5704530,5370543,5552369,5162842,4971979,4871800,5270729,5086532,4972552,4806416,4708602,4648351,4354651,4255290,3968446,3900194,3587210,3404231,3353873,3176223
"CO",1304707,1287365,1309203,1364102,1342910,1386266,1415864,1360715,1355314,1322497,1288996,1283543,1318362,1193543,1108517,1096798,1046442,1058165,1011146,1004154,998563,939706,930937,896246,884672,866443,831968,819777,835860,833650,781861,801295,782002,820358,839722,828416,832971,806388,766989,764127,779938,731949,675159,664120,637387,617854,549820,529344,501320,490549,459464,465484,462650,425083
"CT",555143,542327,553553,556786,548974,557416,601249,613685,657592,661553,633749,598625,608724,629188,613903,585058,621331,582874,549818,555745,561665,587709,580678,586890,634366,611639,581359,573353,551175,551310,505150,515107,514588,576727,603101,630339,616685,623116,598995,647815,693405,674388,643253,669177,644203,622445,606349,597601,557446,549362,533241,524313,504671,493505
"DE",214105,219461,199535,172802,172767,223597,233751,224177,240843,230854,231638,228502,228775,231276,230227,220407,228229,249396,241583,246302,250191,231315,234960,234646,238728,243929,239088,228058,233901,245845,231454,198608,220849,243939,241895,224494,223919,225549,216487,231945,239106,222373,217923,218321,213898,203824,188616,194447,181904,172966,172034,160865,148214,154089
"FL",3277654,3326721,3356571,3488546,3238412,3384806,3606057,3634166,3609979,3552925,3371724,3323077,3240134,3245265,3139118,3118235,2954510,2914096,2865597,2751712,2640815,2588481,2556718,2542951,2548558,2497237,2370336,2261884,2102085,2015955,2057545,1996001,2218606,2206288,2188929,2089770,1978061,1920230,1803909,1795817,1909361,1763285,1635867,1533027,1405955,1306357,1177760,1134685,1069815,1007349,958113,918329,819739,782262
"GA",1941055,1955745,2148923,2325125,2191521,2270680,2444428,2416683,2450179,2321866,2244135,2208549,2147460,2256045,2144649,2108985,2089308,2094771,2033422,1919545,1889151,1759988,1755773,1849009,1789652,1855181,1813461,1732683,1787180,1725117,1573781,1481986,1530405,1539313,1537020,1475559,1445526,1343635,1303244,1318234,1349922,1256739,1169440,1089764,1048368,979004,885404,834434,763379,699726,654894,614901,575829,579391
