"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997"
"AL",181050,176616,175558,173530,169385,175473,175824,175379,173029,168353,159205,155431,151392,149996,147629,142225,137351
"AK",49401,51441,49820,48544,49655,46399,46274,44002,41336,40319,38656,38940,37882,36318,36956,37206,38648
"AZ",257180,255040,250127,245948,243300,264912,272456,265181,250630,232518,224443,212375,206860,202375,192345,177033,163224
"AR",109893,107844,106965,104493,101003,104094,102747,102093,99089,96349,92128,88389,85863,85915,85331,81023,79298
"CA",2055239,2008316,1960153,1936801,1915684,2003470,1994171,1963352,1902108,1829287,1756047,1688313,1647557,1652946,1536524,1429256,1342072
"CO",267186,261613,256177,253517,250285,253908,249486,244264,240195,229866,225748,223705,222420,218740,203698,190016,175360
"CT",231176,228862,228186,230268,227003,237279,245764,236945,229383,225651,211900,208013,208831,206846,194333,189486,183386
"DE",56004,55593,57298,56591,56236,54621,57874,58006,56565,55648,52220,49965,51204,50319,48581,45117,43098
"FL",749292,731319,718872,723549,722825,770940,803690,800215,773322,725025,686575,658732,633726,616483,592557,567440,540967
"GA",425654,417395,413503,407830,406139,420789,427455,420340,413667,398282,388016,380524,378557,374531,361919,338878,317195
"HI",69968,68977,67956,66911,65275,67754,67167,65914,64325,61090,57425,54910,53338,53443,52482,51790,53473
"ID",56086,54665,54692,54812,54199,56672,56383,54914,52119,49148,46853,45391,44274,45502,40806,37140,35576
"IL",672095,670554,658963,647486,641880,660039,672470,665963,648584,637828,622368,612999,611037,612564,592489,573203,555691
"IN",288061,281841,280323,279758,263430,281377,282909,276312,270940,271027,261595,252567,246662,251568,244112,236503,222684
"IA",151851,148612,143705,140513,137571,139020,141966,137190,135618,132372,122776,117613,114382,116564,110961,108681,107761
"KS",130529,130967,130492,125976,122029,127498,126150,121024,116894,113824,112976,110167,108473,108152,105263,102174,98724
"KY",170184,168218,166621,163576,156514,163053,162578,164218,160123,155683,152054,148954,145239,144486,148744,143752,139799
"LA",211896,217440,213453,220995,210791,205976,204886,211389,215307,204293,196911,188776,185976,182594,188668,185132,179430
"ME",50889,50634,50677,51136,50487,51427,51543,51828,51110,51029,49312,48153,46958,46184,44443,42457,41378
"MD",318652,316354,315145,311135,303674,304652,301542,297274,291747,281249,268898,261594,252667,242971,235311,226240,216257
"MA",415440,410686,403885,394778,381628,391788,390891,381127,375146,369299,361818,353072,351483,347961,322329,306232,294018
"MI",409611,398276,392166,384449,366387,399676,420127,425497,432683,427277,429111,420880,409129,420922,414927,394556,385339
"MN",284242,278363,275074,269405,259935,270056,267903,267737,268479,261663,253415,243764,238142,237074,222122,213907,203048
"MS",95590,96695,93525,93840,92442,95492,94424,92645,90221,88614,86667,83342,82611,83387,82942,80678,78789
"MO",257494,253038,250867,253438,249783,255014,251788,251532,249285,245583,240410,234745,232871,234049,227679,221514,217968
"MT",38768,38391,37646,36421,35442,36581,36534,34817,33812,32477,31270,29981,29363,28829,28198,27753,26773
"NE",98464,94749,93787,90330,87172,86684,85698,84494,82199,80359,78933,74336,73090,72004,69284,67753,66558
"NV",119558,118685,118925,118262,119087,131208,136725,135074,130978,120818,109099,104212,100777,98600,94477,88109,84037
"NH",64793,63876,63009,62436,60654,61502,62411,62413,61565,59956,58110,55719,53863,53557,50643,49563,46646
"NJ",502221,498005,485638,489449,484804,505533,503342,500988,492980,484368,475729,464555,454143,449189,429671,416381,408291
"NM",82732,81933,81464,81369,81129,81124,80868,80646,79478,79095,74463,72077,70286,69426,68027,64154,64505
"NY",1248379,1236080,1198571,1183470,1142957,1119884,1160905,1148575,1117222,1070529,1038108,1036339,1037659,1007486,978003,932249,914254
"NC",434180,422573,422253,418358,410488,416644,413567,414090,393550,376150,363685,355431,350175,341701,330983,311871,302438
"ND",45393,44991,37647,34346,31994,31331,28863,27923,26835,26077,25877,24324,23071,22601,21895,21876,20782
"OH",521155,510379,502134,487872,477591,502700,512342,513886,513476,508866,494482,486347,475344,481133,471312,461113,445609
"OK",157982,155204,149905,146085,143500,147160,142402,140263,133023,128911,125138,122777,121644,117791,113996,110984,108800
"OR",196761,198759,199102,190729,180612,181944,172684,167393,153807,150811,138315,133235,129674,131598,120957,118213,112537
"PA",598407,589335,585142,578975,566495,578356,576452,569105,560820,553282,543204,532649,526851,517352,503576,488706,475284
"RI",49943,49016,48650,48792,47854,48381,49755,50931,49923,49526,47670,45754,44212,43266,41461,40071,38701
"SC",170816,168477,167724,164081,161565,167796,168688,164562,161041,156910,155846,150637,147600,146438,143116,137019,131775
"SD",39576,39218,39594,37718,36890,36530,34860,33372,33245,32857,31810,30939,27920,27237,25406,24200,22860
"TN",271250,266938,258017,251446,248024,257400,254756,257285,252197,249623,239316,232375,225335,224072,221889,214789,202798
"TX",1395377,1323204,1245685,1201101,1168881,1172943,1166883,1118165,1057877,1038813,990301,984151,969060,944460,911431,874120,815222
"UT",124310,119918,119105,116010,113943,116114,117853,111192,102902,97254,92926,90957,89625,87423,83602,79919,75514
"VT",27001,27089,26971,26229,25302,25935,25790,25927,25769,25375,24492,23508,22793,22166,21106,20074,19510
"VA",427352,425438,422677,420239,410342,408441,408292,404946,395772,375745,361718,348743,347072,337246,324083,308279,294153
"WA",379014,370374,360625,358120,350996,360018,355056,335881,325480,306727,301865,296888,291502,298880,295372,277011,260662
"WV",64719,63865,66080,64648,63053,63488,61920,62098,61145,59611,58503,58318,57696,57862,58224,56171,55439
"WI",265978,260351,257617,252526,246106,252630,255329,254501,250959,245915,238544,231493,226255,224635,219224,211070,204093
"WY",35731,35566,37444,37358,37889,38167,35148,33273,29714,28461,27415,26672,26263,24848,23981,23107,22648
