"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"AL",141,141,135,138,126,117,98,85,78,68,62,67,65,62,62,18,17,16,15,14,16,15,14,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK",186,186,214,153,151,130,87,87,90,88,89,86,86,86,86,51,51,51,51,51,51,51,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ",345,345,345,339,329,366,302,287,283,255,235,294,287,286,286,238,238,237,237,236,237,237,236,236,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR",808,808,750,773,702,572,482,401,349,306,282,228,212,192,192,152,147,138,131,123,133,126,117,108,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA",119556,121269,124092,124981,127461,129143,130592,129319,132375,133248,133310,135221,128077,127600,135325,133436,132211,129678,120057,142640,155587,154136,155529,152147,143657,104372,110429,105701,96080,80195,63910,50627,59437,52699,40262,30851,37382,37513,33780,25610,20422,15079,5739,5511,6422,4532,3300,1958,1978,2132,1760,1061,1001,359
"CO",759,759,741,721,697,702,621,603,605,562,538,582,579,578,562,412,411,409,407,406,414,412,408,405,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT",21,21,19,20,17,14,11,9,8,7,7,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE",430,430,401,414,367,294,247,204,176,154,142,109,100,89,89,79,76,71,67,63,68,64,60,55,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FL",10056,10056,9799,9516,8444,6889,5908,5034,4434,3849,3507,2663,2444,2157,2157,2130,1948,1806,1648,1521,1611,1513,1400,1288,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GA",315,315,291,300,276,227,203,172,153,135,125,107,101,91,91,56,54,51,48,46,49,47,43,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HI",2630,2491,2183,1964,1643,2316,2280,2114,2224,2144,1813,748,2143,2681,2162,2418,2506,2502,2419,1912,1570,23,0,0,147,168,133,184,197,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID",1881,2213,2164,2120,2122,2325,1537,1510,1525,1397,1312,1530,1520,1307,1262,555,522,529,521,535,535,535,535,536,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL",2042,2042,1905,1965,1744,1399,1173,969,836,730,672,517,474,439,439,388,374,350,331,310,336,316,293,270,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",4647,4647,4499,4408,3912,3180,2718,2306,2024,1759,1605,1221,1120,1029,1029,934,856,794,726,670,624,587,544,502,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IA",1281,1281,1359,1170,1037,874,785,708,647,555,497,369,338,315,315,303,247,224,187,167,78,73,68,63,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KS",974,974,1005,906,803,689,630,583,541,462,411,302,277,253,253,249,194,174,139,121,102,83,63,43,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY",2712,2712,2700,2544,2258,1855,1608,1391,1238,1071,971,733,672,597,597,552,488,450,400,366,294,276,256,237,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA",1842,1842,1891,1708,1520,1279,1125,996,902,778,700,544,502,451,451,386,328,300,259,233,150,141,131,121,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ME",72,72,68,70,61,49,16,13,11,10,9,7,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MD",570,570,532,548,486,390,327,270,233,203,187,144,132,118,118,104,100,94,89,83,90,85,78,72,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA",859,859,962,764,677,585,540,505,472,403,356,261,240,226,226,215,162,145,112,96,75,57,39,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MI",5193,5193,5088,4898,4347,3530,3014,2552,2237,1945,1776,1352,1241,1154,1154,1044,962,893,820,758,720,677,628,579,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MN",1075,1075,1003,1035,918,736,617,510,440,384,354,272,250,235,235,208,201,188,177,166,180,169,157,145,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MS",958,958,1074,855,763,674,619,581,545,466,412,322,299,264,264,223,169,151,118,101,52,43,34,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO",352,352,329,339,301,241,202,167,144,126,116,89,82,74,74,65,62,58,55,52,56,53,49,45,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MT",337,337,403,279,275,265,277,281,291,278,274,282,282,282,276,126,126,126,126,126,126,126,126,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NE",1212,1212,1195,1151,1021,876,795,728,671,575,512,378,353,320,320,311,248,224,184,162,145,124,102,80,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NV",27022,23886,22419,21631,17323,14997,13682,14606,13910,14183,11926,12646,13566,15106,15550,16523,17112,16950,16921,16403,16787,13061,11222,8707,8328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NH",29,29,27,28,25,20,16,13,11,10,9,7,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
