"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"AL",123071,70754,86313,84919,122345,60466,40881,71930,101436,106432,128232,89775,86346,59346,79350,107730,117660,114587,97980,117903,93134,106109,112268,107832,137211,55575,77855,54848,71935,112730,117458,112184,63113,97733,122863,81781,108046,98111,127086,108270,122622,106211,104114,80092,78511,76753,95334,72135,74247,91651,66918,79605,71851,67128
"AK",13696,14988,13066,13982,12920,11547,12762,12137,14638,15004,16023,14643,13905,10220,8351,11353,11224,13089,14149,13879,13433,9495,9352,10137,9102,9658,9080,8448,7816,7235,6243,5870,6171,5599,4747,4889,5343,3978,3713,3407,2973,3594,3807,3806,3562,3781,3786,3293,3655,3374,3410,3207,3168,3120
"AZ",56432,63918,89135,64606,62731,71795,65211,67379,64094,69843,71634,75557,78774,85221,99794,111863,123060,95276,85470,75982,69040,68472,70292,77158,82171,80385,105592,151060,146123,163692,152355,73334,71114,102171,75123,72741,68843,78612,75484,77275,74774,70406,69610,64580,63451,59309,52243,54380,46400,30182,30834,30861,31246,32169
"AR",25329,20921,28738,35697,40921,45923,31992,15380,30822,36493,26878,34953,26331,24181,27552,31781,35906,28921,33181,35721,46486,34928,37016,38016,32176,28754,25080,29390,46323,28429,34872,22019,12913,17606,34940,25086,18684,20975,35719,44600,44172,17059,18897,22668,30115,31247,12815,16528,11291,5872,5168,11197,14854,10671
"CA",226643,255384,413488,326152,272187,237755,270107,476582,396279,341956,368253,316794,263923,391043,416573,505243,419290,462729,495318,237398,417437,208571,229144,247490,321318,242347,255937,433077,331348,450580,598435,525065,311124,423618,351170,385489,148707,240578,417309,484740,402618,329587,408830,399628,422243,282561,368007,273247,319052,231188,265551,241087,163670,187705
"CO",11572,14247,20235,15398,18405,20096,17095,17767,14152,11966,12780,12299,15445,14836,15978,14908,20751,18823,21977,15928,19709,15504,18725,14769,18280,18019,18947,23645,24629,22648,19686,17249,14621,17834,16685,13918,11187,13360,15678,14774,13313,12903,16612,12965,10370,9814,9685,10398,9800,11049,10839,10724,8900,10436
"CT",3835,2970,5513,3811,4973,5481,3590,5395,4782,4634,5715,3409,2959,5369,4315,4571,4562,6472,3752,4964,4275,4382,4522,5936,4607,3411,3578,3899,2760,3941,3977,3877,2717,2659,4777,3723,4497,3976,5135,4470,4644,5584,4098,3456,4439,3727,4108,2631,1959,2817,2915,3112,3907,4564
"DE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"FL",2425,1432,1769,1731,2032,2031,1527,2018,2661,2657,2660,1873,1526,885,1433,2024,2464,2229,2380,2831,2173,2437,2745,1816,2437,2161,2260,2218,2549,2221,2314,2728,1881,2229,2493,2363,2537,2688,2438,2625,2431,2472,2651,3061,2862,2511,2984,3022,3118,3033,2775,2505,2806,2990
"GA",35431,21281,26282,32407,31815,21133,22102,25480,40317,36983,41920,27627,26829,25307,28134,53376,43708,48380,43277,44683,45944,50834,44166,47736,40621,21322,33084,22471,29522,43193,43337,38173,24339,45942,45870,38910,42073,45969,45103,38153,43968,35141,34600,26430,32557,32734,38645,34792,33808,45088,30763,27042,24375,24810
"HI",747,1090,905,687,1099,831,913,1191,962,941,916,967,1041,1055,1175,1237,1178,1076,1009,1438,580,632,741,827,581,834,855,817,893,855,885,942,840,898,931,868,895,962,929,958,985,941,936,1131,1043,979,1131,1165,1093,1205,240,214,258,292
"ID",80845,104109,130241,89309,101838,92258,89170,111513,85413,84752,84585,89210,74637,111871,138042,131904,149882,137349,113322,81663,100157,68815,91266,94814,97532,69638,84444,126946,113491,137756,134351,121177,99374,98760,94885,102269,70428,107589,106908,101140,86007,81408,78264,74260,65608,70145,71952,71110,69417,65833,62667,63159,59590,66333
"IL",1148,1058,1365,1157,1331,1365,1519,1719,1290,1538,1402,1311,1488,1467,1453,1404,992,1092,1278,1244,1342,1441,1403,1497,1038,671,1116,1477,1422,1468,1414,1297,1399,1438,1345,1332,1351,1345,1274,1300,1339,1557,1429,1747,1781,1731,1874,1804,1827,1860,1855,1999,2101,1986
"IN",3692,4125,3972,4426,4914,4304,4447,4855,4382,4444,4293,4184,5897,6001,4162,4881,5736,4636,4818,4197,4623,5817,4164,4588,4697,4553,5279,5285,4451,4548,4401,4473,5317,4928,4540,3737,3898,4972,4623,4647,4984,3998,4513,5199,6170,5444,4888,990,979,472,544,796,1137,1079
"IA",7147,7291,8991,9250,9479,8071,9512,9020,9594,9475,7985,9628,8733,9222,9670,9309,8221,9671,10343,11049,7703,10339,9404,9103,7009,7218,10115,9953,10334,9587,9675,9599,10260,9828,9296,9639,8136,6692,9142,9304,9415,10310,9565,9816,9046,9891,8409,9031,9698,7219,7943,9830,9550,9481
"KS",139,99,143,129,125,104,104,96,113,126,126,130,264,156,126,117,142,113,116,102,51,101,110,138,104,119,93,87,93,78,58,68,80,86,38,49,33,54,48,70,32,48,75,71,67,106,97,138,140,140,174,162,171,211
"KY",31249,22475,28850,25173,32380,18895,16492,25707,29609,37863,39974,40944,39839,23713,26144,31774,34522,36159,35303,41404,32526,38961,38173,32874,45945,25013,30712,28559,30727,36684,34123,34944,27160,30538,40794,32964,34572,32766,36035,35482,39719,39127,37053,33303,27974,30430,38563,26718,25760,25262,24399,29293,27109,28333
"LA",9966,6470,10144,10817,12067,10488,8171,7074,8109,11006,9031,9069,7566,5430,8199,10838,10580,9967,9819,10027,12700,6789,6851,6829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
