"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"AL",628511,681966,615377,550874,474434,420525,432591,402054,363436,392230,361161,390081,344023,368472,349080,341976,337453,337782,332400,299322,302672,288123,261816,252457,253593,243209,214613,210229,227795,239653,230003,253487,281046,278394,291485,244969,248715,232758,271747,282454,279958,287100,294838,307750,310822,296690,262055,240755,236949,230316,211348,201250,191533,190706
"AK",332962,347228,339819,334978,343971,343938,372186,375719,434704,407944,415891,420807,413049,437972,422817,434437,425394,443629,432813,367592,375971,383887,367952,326826,321207,288798,251512,208311,214042,258039,239678,237881,122214,153805,157236,145025,116859,90571,85175,63188,63703,75032,68045,64045,42940,17636,11889,12282,7670,6805,5567,4048,2300,2034
"AZ",340564,339043,293134,336208,377504,409966,401992,365230,329302,356265,275650,255247,244424,208137,167770,161086,137588,125265,127945,139733,118159,133771,128178,130781,151468,128594,121406,105197,137315,126844,120418,142323,192208,173977,180580,186366,176449,180181,164346,204955,226325,241355,225898,204383,210332,189965,169085,174448,166063,174623,169533,163461,159093,140275
"AR",288180,300572,288906,274774,248100,238424,229610,240885,216600,217921,254571,247898,231590,256114,257666,272888,264019,274991,271956,247187,232682,226598,212680,234465,251139,218787,172340,202982,199350,214432,211726,227395,265051,273994,255010,220898,234379,248194,257445,290102,327475,317640,334979,383478,349990,321569,295756,289632,277661,278852,252846,235477,215311,222202
"CA",2483457,2456371,2196252,2325411,2391374,2472612,2467545,2375929,2304463,2462247,2317063,2318656,2513856,2456438,2379558,2418688,2185029,2017680,2109956,2334777,2213111,2294135,2208285,2101602,2047845,1860391,1992956,1591045,1925459,1739833,1601037,1765171,1947370,1890887,1900357,1646333,1864187,1849711,1937322,1937140,2154045,2303562,2265324,2241295,2189883,2187260,2048734,1982305,1813213,1817241,1623370,1483423,1400174,1301826
"CO",486202,461056,481614,510877,533677,514880,519918,465259,483960,446103,442361,463532,469767,370911,335458,334257,318292,322813,295686,280366,294917,266362,275761,247756,249848,228950,210148,198439,218723,230105,215094,224991,210509,254569,260824,234600,253994,276287,280996,302725,311694,301651,281846,274987,268895,253481,210209,207693,204483,205251,180366,202310,210872,194963
"CT",240094,236260,236016,203814,188571,169802,183604,175963,171429,166057,157310,181671,149350,163717,155902,134925,148622,139151,144937,134404,125889,126174,115834,108957,102005,90950,94690,81269,80561,83491,76585,80359,78750,74180,68752,66038,64709,66382,64331,67139,63548,65032,62417,61543,58405,54053,50826,48744,41720,38627,35575,33355,31424,29449
"DE",100684,104421,81710,56087,51652,49752,49937,44788,48639,49739,47978,53782,51817,50181,58089,42322,48141,55935,62739,50397,43069,40994,43374,40145,35901,29930,37254,33604,39456,43865,35512,28752,31716,30840,25758,21263,16261,19662,18975,20772,23408,24569,26981,26949,26949,25069,21948,19845,18742,17826,17082,14999,9708,9351
"FL",1245205,1348390,1235953,1180462,1081725,970038,943845,917468,805446,757672,714825,708638,569757,574460,583448,529565,547201,561145,579310,417702,368011,371137,360992,341993,337182,305758,313553,298928,305060,318172,321010,339099,357473,329568,357014,333306,315950,300867,292139,302002,324892,311235,350527,350626,326855,286653,234326,220568,191669,189595,179441,162843,148894,142900
"GA",635496,625008,532310,541691,475294,436093,455223,433924,427825,406441,390774,393134,362695,421337,347120,378565,381726,393513,383519,352024,360194,351539,331788,319413,325860,331106,311309,286617,289696,315315,303215,303491,325161,325288,324478,286035,271811,268375,335376,339589,358532,341408,353199,342834,324940,295289,265271,243089,219774,215579,195667,199380,186255,188460
