"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"AL",426488,427975,411822,396557,415392,407551,360036,332992,330761,329898,330137,332650,317019,327143,322826,300698,310336,312018,218045,214054,187216,203111,166430,127533,121962,137623,117450,122308,152028,262518,274203,306734,260780,256310,240321,249788,210228,46557,29978,70195,3425,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ",328423,334636,327292,326102,320692,305726,280920,250568,269327,293158,297872,322260,299966,316839,317843,317888,307623,302902,283526,242182,231601,268149,263104,217965,83080,243215,140532,105540,12005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR",124816,162353,148531,157017,158663,148085,162434,158952,142864,161111,153093,152024,154356,121516,135009,137403,149100,140285,122486,145531,142032,118591,132746,119387,93599,94309,118720,93900,105042,117188,83380,82852,100093,85438,42139,57113,54759,42614,53676,4024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA",187162,193939,383644,336562,332218,339506,375427,333488,377313,315634,370958,358707,346911,366845,348736,362928,320194,358119,317794,352778,331724,369043,330684,345955,344146,327209,317298,277332,209565,153366,61214,41357,35367,53665,95320,83801,87396,53107,66855,41277,28689,34266,38137,34375,27127,17003,6503,1895,3193,4369,2288,84,55,1
"CO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600,6994,1812,550,-337,598,8162,6299,8261,7273,2316,6664,2421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT",178465,178959,166669,175074,174220,161305,171874,173111,162406,172470,167566,155777,161112,170674,132456,34022,-1309,65384,196995,210712,229006,175606,128355,209272,207033,235904,214482,197480,135127,154967,126367,150866,139788,129094,138231,151674,141876,136215,89590,88951,46911,83932,84173,39567,40166,33941,6056,0,0,0,0,0,0,0
"DE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FL",277169,187259,230369,250178,304544,335857,307215,327934,300127,325516,322868,351940,329825,336766,329450,326432,241023,267514,301978,278881,271916,262989,215001,230471,221356,277752,196026,233119,249204,261074,161446,213919,159362,182563,167438,172977,189076,95538,92177,87919,51038,713,0,0,0,0,0,0,0,0,0,0,0,0
"GA",343801,355674,338052,350268,331368,331235,341364,333981,329092,351921,346601,324827,351739,338660,328946,329212,319170,314302,322151,302346,286059,293149,272752,262401,264167,160615,159333,76574,107602,59331,84771,73144,79799,92015,55429,46798,39985,45666,34063,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL",1014926,1010189,1002694,1005374,998562,994526,1004100,982498,973293,959869,987308,948761,964500,932749,854224,583254,535916,732840,824598,759385,823235,772156,753444,760711,791821,733298,524124,450809,415387,379243,305571,305891,325199,302604,298772,360238,307424,292243,245760,218667,218614,141019,47396,27600,9111,10380,9325,16358,11393,11710,11093,13870,6144,2958
"IN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IA",55597,45552,54572,46518,48937,55210,47398,53171,47362,51399,41559,47761,40234,46439,38041,39525,43541,41210,39191,42930,33981,35655,43475,31868,33221,33536,26348,31666,20467,29274,25177,25126,24309,27955,31432,13225,31102,27384,25235,14842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KS",74902,86818,76585,99876,91710,88812,108762,97570,92055,105664,92648,94413,108050,94495,95687,109219,88469,86176,105723,89145,82977,88906,61422,83328,102753,70503,67572,73616,40960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA",177156,164092,173859,194818,175524,160658,179127,174634,163598,178110,168069,180702,181041,164734,137016,172341,141785,165578,164812,133562,151238,108433,146317,150230,131136,146152,128688,112532,26102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53166,2076,69317,60292,56104,65676,51436,73464,53192,42216,66032,56875,55552,62488,50097,57488,48040,48928,58582,55386,65496,49586,39893,36540,586,0,0,0,0,0,0,0,0,0,0,0,0
"MD",149048,142297,150655,146265,152180,153422,150551,144320,153443,152043,142685,126641,142612,144204,139114,139851,138657,127010,135939,117432,129208,111662,94734,13242,28777,124404,105147,135704,105434,126334,127325,114555,127095,119409,105240,108272,117181,70921,48307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA",45251,61402,53212,61853,56437,61339,53701,60832,57138,61928,51880,60237,53719,57487,47218,59782,45234,55922,47133,40330,45574,49653,46304,53647,31906,11841,11863,25604,65141,11221,66116,46212,47766,35255,66113,60943,39571,40475,41636,32196,55829,16179,15554,13272,12614,13757,14707,12572,11407,14166,11181,8017,9931,394
"MI",302194,293619,344155,309636,228540,329075,330581,303305,343048,318700,291332,324615,278941,196925,152473,131076,229964,281789,256879,147836,299627,197365,283290,228682,225547,188799,150251,129671,142886,152652,178651,166124,188239,173339,164699,143373,110182,109371,79031,4641,32490,22935,4200,4113,4426,4808,5801,3983,2132,2293,1453,0,0,0
"MN",111885,125159,125134,140873,129623,135843,137437,137569,133948,138645,139799,142897,123113,135160,139148,122158,113536,127035,139149,127761,125902,116923,126427,128458,115634,130279,120643,116919,122923,90306,128164,112911,112360,109374,125146,126822,120211,109482,107372,48695,35654,38405,15106,0,0,167,1624,1498,1693,669,8,0,0,0
"MS",113523,76456,108164,100791,115033,98215,98164,108718,105172,106707,113625,105041,103635,111534,88075,96418,113467,96886,84196,100493,83019,85587,95750,78541,82824,101592,80577,43233,46014,1789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO",87428,112317,98062,94027,107175,98025,98302,105567,83807,81658,101089,87605,87557,104205,89730,89349,93970,93376,86597,104588,88038,84647,104624,84635,88307,94731,65615,75854,85290,9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NE",71736,60795,72549,115540,98682,99075,115815,93943,91856,106796,83344,105696,91127,89988,105452,86643,97267,99325,78650,66321,71481,91605,84372,79485,85480,72391,89684,81009,43911,62676,66321,96917,66048,63082,94196,84522,80249,64335,65153,44596,6536,0,0,0,0,0,0,0,-64,1082,886,0,0,0
"NV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NH",114173,85814,87508,114032,92214,97729,112902,98067,98682,106132,96677,97054,90778,82617,90667,87988,83736,103399,88042,64842,95028,82393,71164,43182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NJ",348784,346962,351658,342526,359036,336500,335757,339846,327604,282407,309629,322299,318190,298041,302746,284643,145951,115826,176576,231296,261888,226122,260072,251538,243746,253285,237006,156254,188752,60825,69006,155455,128776,83192,71918,89372,74941,42587,34645,41000,39087,47008,41455,37917,1182,0,0,0,0,0,0,0,0,0
"NM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NY",467651,427277,446761,437620,454806,451622,445288,440606,442937,423797,423959,413686,421845,328597,386844,328512,310304,369977,276714,305527,282445,252926,298252,249982,241794,256306,239397,233632,255910,229730,178577,159870,192412,210259,201340,237431,221730,172988,144387,103490,78793,69775,70670,46908,14042,12131,13321,9274,8585,4555,7017,706,0,0
"NC",420486,412722,424073,425810,427226,415742,420029,417016,417249,418065,426332,413784,394485,408054,392121,406822,340563,354142,377308,338080,249564,238255,317795,274130,309152,309008,298644,214610,205037,219376,134819,101057,68894,62997,74080,108501,60997,27744,15477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OH",168451,179055,155806,165192,159040,183055,165349,175798,154481,166328,88327,113451,161488,175013,171610,172847,160882,146195,176182,114473,105152,155028,155507,112845,133993,89635,78448,254,20638,46759,53479,35722,48607,23115,34412,26533,5039,0,0,0,0,0,0,0,0,0,0,17,255,207,0,0,0,0
"OK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-223,47880,15363,64273,56080,67204,45399,74912,73406,51348,40186,53062,70856,58844,48900,17104,69916,23227,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PA",822483,787753,796798,813462,808770,822134,811600,785731,796157,807739,774989,794521,769971,769361,743282,641517,709967,721262,698311,702446,623208,629650,602575,611503,414489,401416,365282,421260,278637,233815,160505,182395,157462,131893,204484,244304,191913,181447,174766,78108,3941,3112,4823,5102,4579,5286,6968,6107,3691,301,4221,3717,3548,2674
"RI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC",566879,535952,553573,543379,545434,541026,558014,530071,554544,533920,525453,556829,520792,530708,531002,511535,471343,457627,516666,464760,485168,476813,451945,453763,431569,431984,410268,376882,338056,251939,278962,145677,191120,189846,198220,212875,185645,197186,214291,123406,67229,52110,26162,76,0,0,94,852,880,468,0,0,0,0
"SD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,770,105,0,0,0,0,0,0
"TN",297732,263045,281682,289930,281996,282514,301038,257523,290153,298369,251718,287927,298424,269327,284525,297814,258656,240773,165048,124717,34714,163909,173895,148175,165130,41776,-1124,-1107,102737,135551,153222,111885,51886,5660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TX",400353,402823,414881,432036,434024,425682,429577,430593,398994,421660,348485,371923,398535,391670,384141,405846,392031,375656,379842,300448,130321,256502,207582,167823,105722,40201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VT",50639,52283,51351,49986,56067,51163,49337,53287,42491,40231,46317,41378,43559,47432,42418,35226,44776,39899,40541,45106,35421,39105,43072,38267,38171,43615,36927,21776,31860,36170,31298,46222,39362,32497,37521,35456,38097,36013,39220,27708,17422,1828,0,0,0,0,0,0,0,0,0,0,0,0
"VA",306430,300992,267334,277729,295072,291932,286019,287938,291357,295272,258633,285549,269003,295361,295742,285716,284220,276085,264092,265782,238323,244334,250424,252065,150955,223036,189468,224429,236905,184824,203636,192897,196535,125071,76758,154249,102103,85506,98782,66437,74765,4836,0,0,0,0,0,0,0,0,0,0,0,0
"WA",88408,97808,50293,96588,69385,96886,85051,97341,86016,93660,79360,94484,86159,89744,63598,72556,65526,58691,72938,70444,74946,59605,44346,60762,64745,63616,57728,89276,85377,57614,38098,40206,22523,22269,39301,45301,46468,26568,36432,43409,48321,31500,27667,28693,40475,44091,23287,11497,0,0,0,0,0,0
"WV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WI",121994,149845,120962,138812,132653,127039,135416,127657,103535,123966,127310,129991,120168,120059,120120,98586,41093,106305,115258,120370,120424,117350,115234,118793,114802,121546,118109,118477,116623,116513,101404,113696,107201,108111,113175,128208,117864,118450,113356,92144,64894,35547,37596,1725,0,0,0,0,0,0,0,0,0,0
"WY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
