"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"AL",529970,545992,554871,556139,538180,572918,602699,611905,607467,612913,563460,564117,537085,560633,537208,519583,525885,539973,539299,528267,500373,492128,486653,483003,488004,463817,460829,425403,410154,415641,415690,440534,444631,450546,491593,577978,573751,533051,487977,476384,450714,405288,365107,352170,337392,306623,277389,272839,262263,257078,252175,239730,232625,236266
"AK",242582,255107,268264,275105,255911,278859,323194,342314,333131,334599,285679,277811,289882,275502,275974,259108,256711,242823,235966,219398,213546,212539,204675,226510,231926,215483,231373,273092,237028,200824,175964,149264,135721,129321,127631,163533,154964,141196,123133,117493,112137,117926,109708,96004,92048,80412,76363,65658,61705,58130,55429,53752,51009,45411
"AZ",514037,505360,517082,515028,517327,563277,588718,597715,588023,559794,538595,528059,516845,504891,496423,470202,432517,432366,410605,389282,380265,365336,354720,347299,352707,347765,342006,334683,317164,311990,289221,278523,284490,301356,345855,357419,351192,307396,306795,325795,325878,261115,221239,213315,201372,188628,167967,159259,145778,147509,144282,135778,126812,121426
"AR",329719,326199,340173,347947,339493,358058,360655,359087,358711,361380,357665,356854,354120,358392,351123,322009,320891,309297,307389,297977,285138,271799,262115,266051,275463,276659,263409,263643,263850,263595,284882,281783,289178,299939,359029,421287,424669,380208,341506,354366,352902,311417,269116,246746,237096,219881,200052,194913,179391,184692,173387,166628,160279,148486
"CA",3370660,3323471,3436091,3529603,3519713,3646856,3882835,3867746,3823079,3745373,3572992,3718834,3598664,3582109,3432869,3325202,3303260,3390423,3327135,3313964,3163427,3247460,3255895,3506974,3569298,3517062,3321293,3188123,3126955,3214768,2980152,2875343,3212104,3478632,3735609,3656318,3613073,3246501,2978252,2873991,3049728,2735518,2656212,2503309,2458688,2404081,2251968,2221470,2091540,2029231,1917713,1881127,1894593,1838493
"CO",474350,474986,476322,486234,475109,499737,520235,510857,493925,498335,465004,441430,461101,444573,417812,408228,377397,396965,381673,374669,367088,341018,331541,326575,320654,336503,333893,334081,326991,325812,320043,308747,301838,327972,340858,375198,355216,344953,326660,323099,327757,311293,287631,273445,264005,251377,231749,212630,198720,195697,190140,183877,174840,161913
"CT",319610,308732,323891,337379,346264,352519,389865,402053,447828,464459,436371,383046,419491,429580,443105,417880,428059,402932,364246,383168,399135,422411,426413,439536,508860,497830,465459,471174,449651,466575,428152,435091,436558,502331,533278,563493,550810,555582,533393,574154,627232,605106,544425,559057,526587,485962,445975,412659,387113,389937,380282,378894,365707,362362
"DE",98829,101176,103587,90361,90226,115779,123407,125501,136415,127533,136670,134183,138623,130954,136223,132269,131503,142684,126397,141570,147377,147995,139140,139535,141634,144966,131363,128041,123022,129196,122949,121967,138655,185093,192223,181420,189945,185701,174573,189919,194651,174311,154266,154133,145229,134673,125957,135912,134132,125899,128458,123280,117729,124241
"FL",1592742,1558885,1627911,1729819,1634168,1768662,1950479,2026748,2136625,2096203,1933067,1894806,1944577,1910520,1839473,1839319,1656094,1607203,1599562,1670995,1618730,1567905,1545410,1567567,1574736,1580015,1470163,1503543,1324676,1319132,1417590,1416724,1624666,1651264,1629663,1580941,1502177,1477527,1378308,1347211,1431890,1328436,1168187,1065681,975000,916532,847274,843971,822958,771063,735391,715842,634578,612186
"GA",918398,932478,1017446,1051361,1027149,975818,1059498,1093452,1123714,1080440,1034344,1008301,1012795,1015253,1014924,963042,939627,978272,926229,882003,874380,795480,780812,815682,797302,825331,791834,753682,771931,728299,685836,643212,653194,692533,742944,755144,757982,727708,655879,694698,719889,653740,596635,553775,520713,488806,454192,414108,391005,360334,343718,328322,298805,301981
