"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"AL",317712,252728,266010,254248,273643,237138,228649,266317,279774,293223,284707,253577,252824,263309,290238,317355,300025,323725,322120,334006,269518,257602,257205,253290,304353,216597,233511,215783,248632,288127,282179,265548,213355,238766,190737,148341,174751,160994,184701,166734,181706,164946,158182,132471,131856,129673,144384,121238,121888,137992,112682,125564,118021,112809
"AK",20449,19565,17649,18440,17640,14630,15011,14095,16659,18857,19598,18257,17439,12375,10605,13638,15583,21915,23142,23590,20551,18300,17357,18357,18342,12761,12004,10707,11783,11152,9591,8745,9216,8321,10733,10809,11449,9201,8608,8329,7844,8673,9094,8835,8455,8486,8457,8328,8519,8102,7793,7453,7313,6800
"AZ",122944,117846,130880,101540,96584,112228,97751,95854,92473,82765,84459,88265,92736,102408,116308,128257,143638,114196,106303,94324,87023,87603,88844,94816,101554,98749,123114,175103,171680,188831,175999,94968,92583,120006,83414,79870,75681,84428,80897,82058,79348,75189,74136,68919,67840,63456,56423,58060,50095,34271,34861,34533,35083,36181
"AR",121850,118177,126831,131440,130224,125676,121034,100098,112561,112946,107944,108662,94047,108679,110867,114968,124083,118056,117540,119640,133832,112839,110168,110529,119781,92546,86688,91234,109251,91646,95412,77652,68248,69996,80773,77088,69746,62300,71589,81339,81723,53917,53579,56933,64813,64986,46124,51697,46425,42732,41897,47637,51144,48104
"CA",872582,825250,955763,837213,730323,683037,709100,898813,819816,769093,768779,684702,615353,741805,764608,838293,767465,825031,854606,636058,822464,642546,658175,673019,742319,515854,524440,668070,594659,696738,811004,702806,503653,591928,559806,576601,338073,422852,578578,645073,553162,472312,533790,521978,544918,397366,473192,375877,418518,331757,360333,329046,248178,270161
"CO",123093,107544,106191,80192,78326,77442,50652,42169,35536,29097,28796,27045,30473,32002,32398,31405,38517,35802,36532,29289,33637,28989,32617,27106,30873,32649,32433,44294,43210,39837,35857,32043,28752,28582,33170,29391,23658,23636,24728,24207,23623,22935,25526,21329,18181,17248,16908,17380,16369,17865,17410,17144,15464,16914
"CT",40895,38065,41566,41230,41876,36572,36221,35734,29229,43007,33004,28633,29933,50924,49603,49477,51009,56338,46229,40826,39678,39391,35008,34713,36042,34409,30809,35551,40389,41112,48199,41481,42958,43748,29359,26391,24105,23862,22237,22509,21870,22712,20206,19293,19701,18657,18072,16243,15500,16703,16253,15937,17076,17406
"DE",7506,7069,7642,7481,6631,5778,4947,3598,1878,1430,1397,1311,1322,2288,1999,1935,2202,2641,2476,2421,2492,1783,1733,1653,2515,2310,2162,2765,3019,2927,2224,3170,2006,2472,8729,10667,10161,9607,7901,8466,8483,8190,7673,7021,7073,6594,5783,5852,5577,5510,5356,5134,5101,4982
"FL",315456,302973,301210,294918,280218,248385,203961,195433,190757,182608,191074,176619,160073,196685,205580,206791,232476,241356,221227,216643,218115,232149,214270,200089,233451,114445,108785,118872,114488,112695,94585,105523,83698,90049,69419,65357,59953,56507,50007,52429,56250,54389,49968,51035,51489,49556,44550,42760,39916,39016,38613,35826,34417,35680
"GA",270449,230001,237651,237909,220397,198180,205629,210661,218384,226770,221690,283724,192077,222198,231125,256581,262485,256865,249133,240942,240392,234698,227701,236227,218606,138748,146038,141713,146207,159451,151110,143871,122747,144038,149144,138170,136122,135157,123427,121581,125605,114745,109007,98222,105812,106371,109475,109456,108022,118296,103171,96771,94590,96016
