"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"AL",147,129,122,104,86,83,77,74,62,61,75,89,104,119,133,139,143,151,154,156,151,151,151,141,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK",10,7,5,4,4,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ",35310,21256,10351,5990,4426,3975,3394,3201,2975,2997,3034,3116,3299,3525,3736,3854,3918,3976,3944,3925,3875,3799,3731,3682,3528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR",145,138,123,105,82,70,67,112,104,270,406,544,689,840,976,1075,1146,1226,1263,1290,1300,1305,1303,1305,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA",109342,74848,60321,46654,37194,33866,28525,25406,23081,22368,21985,22534,23072,23171,24017,24583,25072,25690,25429,25226,24689,23649,23865,22097,19756,93,109,147,111,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CO",6757,5063,3808,2187,1230,981,463,262,220,199,204,210,216,224,234,235,232,229,218,209,189,182,168,154,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT",2817,2242,2043,1683,1382,1156,959,799,648,507,439,392,320,271,274,238,204,191,154,136,79,75,71,66,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE",1044,634,414,141,91,53,33,12,8,7,10,13,15,18,21,23,25,26,27,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FL",48716,46829,44072,36881,30848,29712,27541,26589,26095,27099,27307,27912,28714,29488,30352,30809,31031,31202,30742,30100,29164,28108,26886,26052,24531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GA",1300,796,617,461,373,326,293,280,271,265,261,252,242,237,226,210,193,174,163,146,136,125,116,107,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HI",9261,6692,4641,3360,2645,2232,1769,1571,1468,1423,1378,1337,1316,1347,1335,1302,1259,1244,1196,1143,1086,1028,974,899,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID",70,57,43,37,29,25,20,16,10,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL",2952,2682,2376,2033,1477,1313,1120,939,754,573,422,345,257,213,213,182,137,113,105,85,69,60,53,52,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",640,324,295,205,173,128,118,106,89,71,41,42,37,35,35,35,33,33,26,25,20,16,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IA",142,82,60,51,43,26,22,18,10,5,6,7,7,8,9,9,9,10,10,10,10,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KS",66,55,47,40,33,31,29,26,20,17,20,24,27,30,34,36,37,38,39,38,38,37,37,37,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY",188,130,122,97,80,62,50,46,40,34,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA",1074,601,383,164,108,99,92,77,74,74,67,61,61,64,70,74,72,75,77,73,71,71,71,65,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ME",342,292,251,204,172,164,142,130,112,108,99,104,110,117,122,122,122,118,119,113,100,93,92,87,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
