"","","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997"
"1","AL",0.000811930405965203,0.000730398151922816,0.000694927032661571,0.000599320002305077,0.000507719101455265,0.000473007243279593,0.000437937937937938,0.000421943334150611,0.000358321437446902,0.000362333905543709,0.000471090732074998,0.000572601347221597,0.000686958359754809,0.000793354489453052,0.000900907003366547,0.000977324661627703,0.00104112820438148
"2","AK",0.000202425052124451,0.000136078225539939,0.000100361300682457,8.23994726433751e-05,8.05558352633169e-05,6.46565658742645e-05,0,0,0,0,0,0,0,0,0,2.68773853679514e-05,2.58745601324777e-05
"3","AZ",0.137296834901625,0.0833437892095358,0.0413829774474567,0.0243547416527071,0.0181915330867242,0.0150049827867367,0.0124570572863141,0.0120710005618804,0.0118700873798029,0.0128893246974428,0.0135179087786209,0.014672160094173,0.0159479841438654,0.0174181593576282,0.0194234318542203,0.0217699524947326,0.0240038229672107
"4","AR",0.00131946529806266,0.00127962612662735,0.00114990884868882,0.00100485199965548,0.000811857073552271,0.000672469114454243,0.000652087165562012,0.00109703897426856,0.00104956150531341,0.00280231242669877,0.00440691212226468,0.00615461199923067,0.00802441098028254,0.00977710527847291,0.0114378127526925,0.0132678375276156,0.0144518146737623
"5","CA",0.0532015984515669,0.0372690353510105,0.030773618181846,0.0240881742626114,0.0194155194698082,0.0169036721288564,0.014304189560474,0.0129401146610491,0.0121344319039718,0.0122277149512351,0.0125195965711624,0.0133470511688295,0.0140037643614151,0.0140180017980019,0.0156307353480974,0.0171998578281288,0.0186815610488856
"6","CO",0.0252894987012793,0.0193530138028309,0.0148647224380019,0.00862664042253577,0.0049143975867511,0.00386360414008223,0.00185581555678475,0.00107260996299086,0.000915922479651949,0.000865721768334595,0.000903662490919078,0.000938736282157305,0.000971135689236579,0.00102404681356862,0.00114875943799154,0.00123673795890872,0.00132299270072993
"7","CT",0.0121855209883379,0.0097962964581276,0.00895322237122348,0.00730887487623117,0.00608802526838852,0.00487190185393566,0.00390211747855666,0.00337209056954145,0.00282496959234119,0.00224683249797253,0.00207173194903256,0.00188449760351516,0.00153233954728944,0.00131015344749234,0.00140995096046477,0.00125602946919561,0.00111240770833106
"8","DE",0.0186415256053139,0.0114043134927059,0.00722538308492443,0.00249156226255058,0.00161818052493065,0.000970322769630728,0.000570204236790269,0.000206875150846464,0.000141430213029258,0.000125790684301323,0.000191497510532363,0.000260182127489242,0.000292945863604406,0.000357717760686818,0.000432267759000432,0.00050978566837334,0.000580073321267808
"9","FL",0.0650160418101354,0.0640336159733304,0.0613071589935343,0.0509723598539975,0.0426769965067617,0.0385399641995486,0.0342681879829287,0.0332273201577076,0.0337440290073217,0.0373766421847522,0.039772785201908,0.0423723152966609,0.0453098026591934,0.0478326247439102,0.0512220765259713,0.0542947271958269,0.0573620941758
"10","GA",0.00305412377188984,0.00190706644784916,0.00149212944041518,0.00113037294951328,0.000918404782599061,0.000774735081002593,0.000685452269829573,0.000666127420659466,0.000655116313363164,0.000665357711370336,0.000672652674116531,0.000662244694158581,0.000639269647635627,0.000632791411124847,0.000624449117067631,0.000619692042563991,0.000608458519207428
